Authors;Author full names;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;DOI;Link;Affiliations;Authors with affiliations;Abstract;Author Keywords;Index Keywords;Publisher;Language of Original Document;Abbreviated Source Title;Document Type
"Madsen J.B.";Madsen, Jakob B.;A behavioral model of house prices;2012;JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION;82;1;;21;38;18;36;10.1016/j.jebo.2011.12.010;http://dx.doi.org/10.1016/j.jebo.2011.12.010;Monash University;Madsen J. B., Monash Univ, Dept Econ, Caulfield, Vic 3145, Australia;This paper proposes a model in which house prices are determined by economy-wide nominal income and nominal mortgage payments in the short run, while being determined by acquisition costs in the long run. The model, to a large extent, explains the 1995-2007 housing market run-up in the OECD countries by lower mortgage repayments, decreasing nominal interest rates, and increasing nominal GDP, partly induced by a large inflow of migrants. Empirical estimates give strong support for the model and suggest that it explains house prices in the OECD better than alternative models. (C) 2012 Elsevier B.V. All rights reserved.;"Behavior of house prices; Institutions; Affordability; Financial innovations; Tobin's q";"CREDIT; MARKET; POLICY; AFFORDABILITY; CONSTRAINTS; INFLATION; BUBBLES; INCOME";ELSEVIER SCIENCE BV;English;J. Econ. Behav. Organ.;Article
"Luk J.W.K.; Chan T.-H.";"Luk, John W K. (59184672700); Chan, Tze-Haw (56949694700)";A comparison of the housing policies of Hong Kong and Singapore with a pragmatic and fast relief proposal for Hong Kong's housing problems;2024;HKIE TRANSACTIONS HONG KONG INSTITUTION OF ENGINEERS;31;1;20230042;;;;0;10.33430/V31N1THIE-2023-0042;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196748938&doi=10.33430%2fV31N1THIE-2023-0042&partnerID=40&md5=a88a537b2ff612f7a50e9d9a67057c94;Graduate School of Business (GSB), Universiti Sains Malaysia, Malaysia;"Luk J.W.K., Graduate School of Business (GSB), Universiti Sains Malaysia, Malaysia; Chan T.-H., Graduate School of Business (GSB), Universiti Sains Malaysia, Malaysia";Hong Kong has grappled with a longstanding and severe housing problem, prompting this study to explore potential solutions. By comparing the housing policies of Hong Kong and Singapore, the research aims to identify lessons that Hong Kong can learn from Singapore's approach to alleviate its housing challenges. The study reveals that major political, social, financial, and legal differences exist between the two cities, making direct policy replication challenging or even impossible. Nevertheless, it underscores the importance of government policy in addressing the complex and multi-faceted housing problem. To offer a pragmatic and swift relief proposal, the study proposes leveraging structural and building engineering expertise to innovate in constructing mega tall residential buildings. A preliminary feasibility design employing the Theory of Elasticity showcases the viability of this proposal. The research contributes valuable insights into resolving Hong Kong's housing crisis and offers a tangible approach for immediate relief. © 2024 The Hong Kong Institution of Engineers.;"affordability; cost-effective; Hong Kong and Singapore housing policies; mega tall building; quick and pragmatic relief";;HONG KONG INSTITUTION OF ENGINEERS;English;Hong Kong Inst Eng Trans;Article
"Moges Tareke K.; Abraha Baraki G.";"Moges Tareke, Kassa (58020061100); Abraha Baraki, Goitom (59469682300)";Affordability and accessibility of condominium housing in urban Ethiopia using a combined transportation and housing cost (CHT) index model: implication for sustainable urban infrastructure, policy and development;2024;INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT;16;1;;38;61;23;0;10.1080/19463138.2024.2429393;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211769479&doi=10.1080%2f19463138.2024.2429393&partnerID=40&md5=215dcc3ec2dfb51b0112f8632075f144;"College of Urban Planning and Engineering, Department of Transport Planning and Management, Ethiopian Civil Service University, Addis Ababa, Ethiopia; College of Urban Planning and Engineering, Department of Housing and Real-Estate Property Management, Ethiopian Civil Service University, Addis Ababa, Ethiopia";"Moges Tareke K., College of Urban Planning and Engineering, Department of Transport Planning and Management, Ethiopian Civil Service University, Addis Ababa, Ethiopia; Abraha Baraki G., College of Urban Planning and Engineering, Department of Housing and Real-Estate Property Management, Ethiopian Civil Service University, Addis Ababa, Ethiopia";Condominium housing is a critical housing option, but its affordability measures continue to be debatable. This study examined the mutual effect of housing & transportation monthly expenses on housing location affordability and accessibility, considering three comparable locations- inner-city, intermediate, and outer-city condominium locations in Addis Ababa, Ethiopia. 1152 condominium residents were surveyed to assess urban housing location affordability using the combined H+T affordability index, GIS, one-way ANOVA, and Logit model. Housing affordability is diversified in the city, distance to CBD & transport are significant factor. Outer-city and intermediate neighbourhoods are unaffordable & inaccessible, with 55% and 48% index, respectively. Outer-city residents and lower-incomers face higher financial burdens. Nevertheless, inner-city is affordable & accessible, and residents enjoy better proximity to services. It contributes insights to enhance literature and debates on the model. H+T index provides up-to-date understanding and informs policymaking for innovative, smart, and sustainable, location-sensitive, integrated, and pro-poor policies. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;"condominiums; Housing location affordability and accessibility analysis; sustainable city; urban housing; urban planning and policy; urban transportation; urbanization";"ADDIS ABABA; ETHIOPIA; GIS; HOUSING FINANCE; HOUSING POLICY; LOGIT ANALYSIS; RESIDENTIAL DEVELOPMENT; RESIDENTIAL LOCATION; URBAN HOUSING; URBAN TRANSPORT";TAYLOR AND FRANCIS LTD.;English;Int. J. Urban Sustainable Dev.;Article
"Bridge C.; Davy L.; Judd B.; Flatau P.; Morris A.; Phibbs P.";"Bridge, Catherine (37664341800); Davy, Laura (56039706100); Judd, Bruce (14052219400); Flatau, Paul (7003468745); Morris, Alan (57196263023); Phibbs, Peter (7003460041)";Age-specific housing and care for low to moderate income older people;2011;AHURI FINAL REPORT;;174;;1;153;152;5;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907532751&partnerID=40&md5=42bc9c2c04d2e8a68d5704d628551d92;"University of New South Wales, Australia; University of Western Australia, Australia; University of Western Sydney, Australia";"Bridge C., University of New South Wales, Australia; Davy L., University of New South Wales, Australia; Judd B., University of New South Wales, Australia; Flatau P., University of Western Australia, Australia; Morris A., University of New South Wales, Australia; Phibbs P., University of Western Sydney, Australia";Aims and questions This report presents the final findings of a national, interdisciplinary research project into age-specific housing for lower-income older Australians. The key research aim addressed in this report is to assess Australia's current age-specific housing market and its potential growth among low to moderate income older people, in order to develop effective policy strategies for the provision of age-specific housing for this disadvantaged group. This project examines the increasing demand for age-appropriate and affordable housing that can adequately encompass the care needs of older people with low to moderate incomes, the housing types and options currently available to lower-income older people, and future trends and policy strategies that may emerge in answer to this demand. The research questions that direct this project are as follows: A. What is the nature of the age-specific housing market in Australia at present? A1. What is the range of age-specific housing and care options currently available within the housing market in Australia? A2. What are the financial models associated with the various age-specific housing and care options? A3. What is the likely size of the market at present and in future decades? A4. What are the demographic characteristics of older consumers and to what extent are these variations significant in terms of housing, location, income and care types? B. What factors have influenced the provision of particular types of age-specific housing products? B1. What makes age-specific housing options attractive/unattractive to older persons/providers? B2. How do the financial models associated with the various options facilitate or constrain choice among low to moderate income older people? B3. To what extent do the current legislative and policy frameworks hinder or support the range of age-specific housing options currently available? C. What factors are shaping the market growth of particular types of age-specific housing? C1. Should policies and regulations be modified to create more suitable age-specific housing options and, if so, what changes should be made? C2. What impact would these changes have over time? Background The need for some form of care and assistance increases markedly as people move into older age cohorts, particularly for those aged 85 years and over (Productivity Commission 2008). This has necessitated the development of housing models targeted specifically towards older people and their particular housing and care requirements. However, older people without savings and with minimal or no superannuation earnings have minimal capacity to cover any increase in housing and living costs that may arise from a move to more age-appropriate housing, particularly if they are not homeowners (Morris 2007, 2009 and affordability thus becomes a key issue. The provision of aged care involves many different organisations, governance arrangements, funding instruments, accommodation types and providers, and the costs associated with service provision are highly variable (Productivity Commission 2008). While the number of age-specific housing providers around Australia has increased steadily over recent decades, particularly in the retirement village sector and 'Over 55's community' models, the legislative and policy framework for government interaction and regulation of these housing types is undeveloped and fragmented, and the research evidence base to underpin policy development is sparse. Methodology This research project was divided into five methodological stages: Stage 1: a literature review and policy review of the Australian age-specific housing market. Stage 2: a quantitative profile of the housing market and its consumers. Stage 3: a questionnaire survey of age-specific housing providers and older residents of age-specific housing. Stage 4: 107 qualitative interviews with older people in age-specific housing, housing providers, and key policy stakeholders. Stage 5: public engagement via a public forum and the publishing of at least one peer reviewed academic article relating to this research. Trend analysis This analysis of trends from the Australian Bureau of Statistics (ABS) Census demonstrates the dramatic ageing of the Australian population in the first half of the 21st century, and particularly over the next 20 years (2011-31) as the baby boomer cohort ages. This is likely to be accompanied by a steady decline in outright home ownership, dramatic increase in owner-purchasers, and increasing polarity between higher and lower-income older Australians. This will potentially impact on the demand for more affordable housing options, including the kind of low to moderate income age-specific developments addressed in this report, as older Australians seek to down-price to discharge mortgages and thereby reduce housing costs. Provider perspectives The perspectives of providers of age-specific housing were garnered via an online survey and semi-structured interviews with selected providers of key housing types. Age-specific housing providers are extremely diverse in terms of their scale and focus, their motivation, i.e. for-profit and not-for-profit, and their attitude and approach to care service provision. A number of other key issues emerged, such as: Much of the current supply of age-specific housing is quite old and not particularly suitable for older consumers. The sector experiences the normal frustrations of developers who have to navigate the planning system and communities resistant to change. The regulatory system is complex, and while regulation is needed to protect consumers, inappropriate regulation may both reduce the ability of the sector to innovate as well as discourage potential providers. Many not-for-profit providers are pursuing a strategy of letting their market initiatives subsidise their initiatives for lower-income households. There is considerable activity in the rental market with some targeting of lower-income households but demand in this area is also considerable and providers are struggling to keep up. Residents perspectives Residents were surveyed using an online and paper-based questionnaire, and in depth semi structured interviews were conducted. The survey highlighted the great range of housing and dwelling types available in the age-specific housing sector and the vast differences that exist between them, particularly the differences between the market and subsidised accommodation. It revealed that many residents experienced considerable difficulty in finding appropriate housing, particularly when they required subsidised housing or when they lived in a regional location. Many survey respondents raised concerns with the level of maintenance in some stock, highlighting the large variation in the quality of age specific housing and the varying age of the stock. It also emerged respondents actively sought out age-friendly design features, such as hob free showers. Large numbers of survey respondents had entered market-based housing after sale of the family home. However, with declining rates of homeownership, this situation is likely to change significantly in the future. Targeted interviews with residents of age-specific housing indicated that declining health and a desire for a supportive and secure environment with less physical demands were major reasons for moving to age-specific housing. High quality age-specific housing that included a component of care services was in high demand from consumers. Many residents reported long waiting lists for appropriate housing. Financially, older people who had been homeowners before transitioning to age-specific housing had greater choice and were better able to afford higher cost housing options such as retirement village accommodation. Older people with a lower income and asset level often had restricted options in age-specific housing, particularly those who had a history of marginal and insecure housing. The provision of care services was highly variable between housing types.;"Age; Care; Housing; Income; Low; Moderate; Older; People";;AUSTRALIAN HOUSING AND URBAN RESEARCH INSTITUTE;English;AHURI Final Rep.;Article
"Hu M.; Lin Z.; Liu Y.";"Hu, Mingzhi (57200227185); Lin, Zhenguo (8883185700); Liu, Yingchun (7410217698)";Amenities, Housing Affordability, and Education Elites;2023;JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS;66;1;;141;168;27;6;10.1007/s11146-022-09896-y;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127295409&doi=10.1007%2fs11146-022-09896-y&partnerID=40&md5=94df65ae36a354ab818ace0b989825df;"School of Management, Chinese Academy of Housing and Real Estate, Zhejiang University of Technology, Hangzhou, China; Hollo School of Real Estate, College of Business, Florida International University, FL, United States; Department of Finance, Insurance, Real Estate and Law, G. Brint Ryan College of Business, University of North Texas, TX, United States";"Hu M., School of Management, Chinese Academy of Housing and Real Estate, Zhejiang University of Technology, Hangzhou, China; Lin Z., Hollo School of Real Estate, College of Business, Florida International University, FL, United States; Liu Y., Department of Finance, Insurance, Real Estate and Law, G. Brint Ryan College of Business, University of North Texas, TX, United States";Education Elites (i.e., higher-educated people) with new ideas and technologies are widely acknowledged to be a source of innovation and the engine of regional economic growth. A city that can attract higher-educated people will ultimately become the winner of future. This paper examines whether city amenities attract higher-educated people. Using three different datasets from China, we find that people with college degree or above are much more likely to choose the best amenity cites, which in fact results in 68.4% increase in the concentration of these higher-educated people. In addition, we find that people with master degree or above education can enjoy 45.61 percent income premium in the best amenity cities, and people with four-year college education can also enjoy 30.68 percent income premium. Furthermore, we find that these higher-educated people have much higher satisfaction on income and job promotion opportunity. However, with prices soaring in the best amenity cities, housing becomes increasingly unaffordable. In fact, we find strong evidence that the attractiveness of the best amenity cities has declined over time. This finding suggests that policies that curb the rapid increase in housing prices in the best amenity cities are necessary for local governments in order for their cities continuing to be the winner of future. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.;"Amenities; Higher-educated; Income premium; Job satisfaction";;SPRINGER;English;J. Real Estate Financ. Econ.;Article
Raynor, K;Raynor, Katrina;Assembling an innovative social housing project in Melbourne: mapping the potential for social innovation;2019;HOUSING STUDIES;34;8;;1263;1285;23;14;10.1080/02673037.2018.1535054;http://dx.doi.org/10.1080/02673037.2018.1535054;University of Melbourne;Raynor K., Univ Melbourne, Melbourne Sch Design, Melbourne, Vic, Australia;In Australia, echoing trends in the UK, US and Canada, provision of social housing has transitioned from government-led mechanisms to an increasing focus on partnerships between private developers, government and the not-for-profit sector. In this context, social housing is often achieved via the 'cobbling together' of necessary resources over time. This article focuses on an innovative social housing project in the inner west of Melbourne, Australia, that involves the modular construction of 57 transportable dwellings located on government-owned land. I apply a theoretical framework that combines insights from social innovation literature and assemblage to understand the process of assembling a pilot project and to chart how the project may be scaled up or scaled out to challenge the system in which homelessness occurs. The research highlights the role of community housing providers as 'pivot points' in the social housing sector and acknowledges the importance of credibility, funding, legislative change and construction innovation in scaling housing social innovations.;"Social housing; social innovation; assemblage; social enterprise";"SCALING-UP; AUSTRALIA; AFFORDABILITY; POLICY; ENTERPRISE; HYBRIDITY; POLITICS";ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;English;Hous. Stud.;Article
Wetzstein S.;Wetzstein, Steffen (23768362900);Assessing post-GFC housing affordability interventions: a qualitative exploration across five international cities;2021;INTERNATIONAL JOURNAL OF HOUSING POLICY;21;1;;70;102;32;20;10.1080/19491247.2019.1662639;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074936244&doi=10.1080%2f19491247.2019.1662639&partnerID=40&md5=f2743a78a27158c189c8e912cdbf7f9d;"School of Agriculture and Environment, The University of Western Australia, Perth, WA, Australia; Willy Brandt School of Public Policy, University of Erfurt, Erfurt, Germany";Wetzstein S., School of Agriculture and Environment, The University of Western Australia, Perth, WA, Australia, Willy Brandt School of Public Policy, University of Erfurt, Erfurt, Germany;"This paper confronts one of the biggest contemporary public policy conundrums globally; the challenge of decreasing housing affordability for urban residents. Aiming to align the international literature with the multitude of policy responses following the Global Financial Crisis (GFC), the paper explores Ôin-depthÕ, and via recontextualisation, the policy priorities and strategies designed to combat housing affordability challenges across five international cities from advanced economy countriesÐBerlin (Germany), Vienna (Austria), Singapore (Singapore), Sydney (Australia) and Auckland (New Zealand). Carefully guided by critical social science and heterodox political economy literatures, and based on an innovative multi-city comparative ethnography (MCCE) centred on 118 in-depth research interviews with key stakeholders, six approaches are singled out as especially prominent: (1) market-based housing supply; (2) direct price/rent control; (3) construction cost reduction; (4) non-market-based housing supply; (5) demand-side interventions; and (6) urban land market interventions. Whereas all strategies face serious tensions, contradictions and implementation barriers, the latter three interventions are more likely to have a positive and lasting impact. Based on these findings, there is a need for normative reorientation and intellectual innovation in order to expand understandings on those three interventions in the name of affordable housing for all. © 2019 Informa UK Limited, trading as Taylor & Francis Group.";"comparative knowledge production; critical evaluation; global housing affordability crisis; policy interventions; urban housing markets";"AUCKLAND [NORTH ISLAND]; AUSTRALIA; AUSTRIA; BERLIN; GERMANY; NEW SOUTH WALES; NEW ZEALAND; NORTH ISLAND; SINGAPORE [SINGAPORE (NTN)]; SINGAPORE [SOUTHEAST ASIA]; SYDNEY [NEW SOUTH WALES]; VIENNA; AFFORDABLE HOUSING; COMPARATIVE STUDY; HOUSING MARKET; HOUSING POLICY; KNOWLEDGE BASED SYSTEM; QUALITATIVE ANALYSIS; RESIDENTIAL DEVELOPMENT; URBAN HOUSING";ROUTLEDGE;English;Int. J. Hous. Policy;Article
"Mulliner E.; Maliene V.";"Mulliner, Emma (47361388200); Maliene, Vida (24332653600)";Austerity and reform to affordable housing policy;2013;JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT;28;2;;397;407;10;30;10.1007/s10901-012-9305-6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878014376&doi=10.1007%2fs10901-012-9305-6&partnerID=40&md5=3c1024075c745490dfc5458aa21e856e;Faculty of Technology and Environment, School of the Built Environment, Liverpool John Moores University, Liverpool, L3 3AF, Byrom street, United Kingdom;"Mulliner E., Faculty of Technology and Environment, School of the Built Environment, Liverpool John Moores University, Liverpool, L3 3AF, Byrom street, United Kingdom; Maliene V., Faculty of Technology and Environment, School of the Built Environment, Liverpool John Moores University, Liverpool, L3 3AF, Byrom street, United Kingdom";The recession has created significant challenges for the government with regard to providing affordable housing. Even during the UK's housing boom the supply of housing failed to keep pace with demand. Therefore, increasing housing supply and improving affordability in a recessionary period will require the government to innovatively utilise their limited resources. Following the Comprehensive Spending Review in 2010 severe cuts to the housing budget were made and radical reforms to housing and planning policy have been proposed by the coalition government. The paper briefly discusses the UK housing market and affordable housing policy and practice recently employed in England. Subsequently a discussion of the coalition government's recent reforms to housing and planning policy, concerning affordable housing, is presented. © 2012 Springer Science+Business Media B.V.;"Affordable housing; Housing policy reform; Localism; Social housing; UK";"UNITED KINGDOM; AFFORDABLE HOUSING; HOUSING MARKET; HOUSING POLICY; POLICY REFORM; SOCIAL HOUSING";;English;J. Hous. Built Environ.;Article
Ryan-Collins J.;Ryan-Collins, Josh (55757433200);Breaking the housingÐfinance cycle: Macroeconomic policy reforms for more affordable homes;2021;ENVIRONMENT AND PLANNING A;53;3;;480;502;22;63;10.1177/0308518X19862811;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068992347&doi=10.1177%2f0308518X19862811&partnerID=40&md5=cc316ad1496609fe113b2cb989ed3ba4;UCL Institute for Innovation and Public Purpose, United Kingdom;Ryan-Collins J., UCL Institute for Innovation and Public Purpose, United Kingdom;"This paper argues that the housing affordability and wealth inequality crises facing advanced economies are driven by the emergence of a feedback cycle between finance and landed property. The cycle has been created by the increasing policy preference for private home ownership coupled with the liberalization of bank credit and accompanying financial innovation. Under such conditions, landed property becomes both the most attractive form of collateral for the banking system and the most desirable form of financial asset for households and investors. The housingÐfinance cycle emerged in Anglo-Saxon economies in the 1980s but has since spread to most advanced economies. Demand-side reforms, more than the supply-side reforms that dominate policy discussion, are required to break this cycle. Two reforms are discussed: (a) structural and institutional reforms to banking systems, including central banks; and (b) land policy reforms targeted at reducing the potential for rent extraction and speculative profits from property ownership. © The Author(s) 2019.";"credit; economic rent; financialization; Housing; land";"EUROPE; AFFORDABLE HOUSING; CAPITALISM; CREDIT PROVISION; HOMEOWNERSHIP; HOUSING FINANCE; HOUSING POLICY; INCOME DISTRIBUTION; MACROECONOMICS; POLICY REFORM; RENTAL SECTOR";SAGE PUBLICATIONS LTD;English;Environ. Plann. A;Article
"Short P.; Parsell C.; Phillips R.; Seage N.; James A.; Australian Housing and Urban Research Institute; Queensland Research Centre";"Short, Patricia (57206038312); Parsell, Cameron (41862272900); Phillips, Rhonda (37014687000); Seage, Nicola (56413024900); James, Amity (56129373400); Australian Housing and Urban Research Institute (56412963600); Queensland Research Centre (56413071400)";Bridging the divide: Householder and service provider experiences of forced exits from private rental in Queensland;2013;AHURI FINAL REPORT;;203;;;;;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116175944&partnerID=40&md5=b5463592c0b440e451c78049e261902f;University of Queensland, Australia;"Short P., University of Queensland, Australia; Parsell C., University of Queensland, Australia; Phillips R., University of Queensland, Australia; Seage N., University of Queensland, Australia; James A., University of Queensland, Australia; Australian Housing and Urban Research Institute, University of Queensland, Australia; Queensland Research Centre, University of Queensland, Australia";This report presents the results of a project investigating forced exits from private rental accommodation in Queensland. It sought to understand practitioner responses and systems of service integration to assist these people be reintegrated back into suitable accommodation. The study involved online surveys, workshops, and qualitative interviews with service providers and householders.  Three case studies were from three metropolitan and regional areas in Queensland. Efforts to increase affordable housing need to be supplemented with other strfor those forced to exit the private rental market, and who are not eligible for, or likely to obtain, tightly targeted social housing.  These include: Resourcing housing and homelessness services to engage with private market and informal sectors. Strengthening and extending private rental housing support programs including Tenancy Advice and Advocacy services, RentConnect (including access for low-waged households living under housing stress), and Home Stay tenancy support programs. Providing information services on a range of accommodation optionsÑfrom boarding to sharing. Developing appropriate regulatory and other measures in order to extend Ôrent by the roomÕ approaches that are widely used in student accommodation. The study has particular policy relevance for QueenslandÕs One Social Housing access system, since it identified the need to widen access to services through networked community agencies. Service provider effectiveness is currently constrained by overly tight program specifications and funding conditionsÑgreater flexibility in service delivery models could encourage innovation that takes advantage of local opportunities.  This might entail increasing resources for outreach, collaboration and program development at the community and regional levels.;"Forced exits; Householder; Private rental; Queensland; Service provider";;AUSTRALIAN HOUSING AND URBAN RESEARCH INSTITUTE;English;AHURI Final Rep.;Review
